Id	A11_Mem_12	A12_Mem_13	A7_Mem_7	B11_Mem_27	B5_Mem_19	B7_Mem_21	C10_Mem_42	C2_Mem_30	C4_Mem_32	C9_Mem_40	A10_Mem_10	B9_Mem_24	C1_Mem_29	C11_Mem_44	C7_Mem_36	C8_Mem_38	D1_Mem_46	D2_Mem_47	D3_Mem_49	D4_Mem_54	A3_Mem_3	B1_Mem_14	B10_Mem_25	B2_Mem_15	B3_Mem_16	B4_Mem_18	B8_Mem_22	C12_Mem_45	C3_Mem_31	C6_Mem_34	A1_Mem_1	A2_Mem_2	A4_Mem_4	A5_Mem_5	A6_Mem_6	A8_Mem_8	A9_Mem_9	B12_Mem_28	B6_Mem_20	C5_Mem_33	norm.A11_Mem_12	norm.A12_Mem_13	norm.A7_Mem_7	norm.B11_Mem_27	norm.B5_Mem_19	norm.B7_Mem_21	norm.C10_Mem_42	norm.C2_Mem_30	norm.C4_Mem_32	norm.C9_Mem_40	norm.A10_Mem_10	norm.B9_Mem_24	norm.C1_Mem_29	norm.C11_Mem_44	norm.C7_Mem_36	norm.C8_Mem_38	norm.D1_Mem_46	norm.D2_Mem_47	norm.D3_Mem_49	norm.D4_Mem_54	norm.A3_Mem_3	norm.B1_Mem_14	norm.B10_Mem_25	norm.B2_Mem_15	norm.B3_Mem_16	norm.B4_Mem_18	norm.B8_Mem_22	norm.C12_Mem_45	norm.C3_Mem_31	norm.C6_Mem_34	norm.A1_Mem_1	norm.A2_Mem_2	norm.A4_Mem_4	norm.A5_Mem_5	norm.A6_Mem_6	norm.A8_Mem_8	norm.A9_Mem_9	norm.B12_Mem_28	norm.B6_Mem_20	norm.C5_Mem_33	baseMean	Control	Combination	Cort	Pregnanedione	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENSGALT00000086884.2	133	143	133	95	192	113	135	164	180	170	213	210	224	197	236	154	164	201	189	242	168	155	260	238	232	242	263	242	213	294	168	162	143	177	162	213	130	139	190	171	142	159	147	121	152	121	137	146	165	163	237	205	215	240	252	145	173	220	201	233	149	152	230	212	216	204	229	257	233	272	172	176	148	166	140	190	152	146	153	157	183.21	145	212	215	160	1.477	0.562	5.904	3.54254996266302e-09	8.32888921721703e-05	0.0154	0.0169	0.0154	0.0154	TRUE	0.0471
ENSGALT00000059730.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	13	0	0	0	0	0	0	0	10	0	9	0	0	0	0	0	1.14	0	1	1	2	6740639.804	22.684	5.417	6.06380669776225e-08	0.000356415398177721	40	3.5427	40	40	TRUE	0.6186
ENSGALT00000074022.2	49	43	47	23	71	33	38	38	38	39	56	67	54	58	70	60	64	99	55	86	68	72	74	70	58	55	87	67	64	99	55	43	33	55	57	44	27	61	57	65	52	48	52	29	56	35	38	34	35	37	62	65	52	71	75	57	68	108	58	83	60	70	65	62	54	46	76	71	70	92	56	47	34	52	49	39	32	64	46	60	56.56	42	70	67	48	1.653	0.725	5.055	4.30525335970384e-07	0.00111794560296408	0.0284	0.0386	0.0289	0.0289	TRUE	0.1303
ENSGALT00000063965.2	40	41	34	24	46	23	26	35	27	35	48	57	54	39	44	53	44	45	63	57	50	44	63	42	60	53	71	55	44	45	48	28	27	27	37	22	27	41	40	41	43	46	38	31	36	25	26	31	25	33	54	56	52	47	47	50	46	49	67	55	44	43	56	37	56	45	62	58	48	42	49	30	28	25	32	20	32	43	32	38	41.91	33	52	49	33	1.558	0.64	4.983	6.26426558440919e-07	0.00133890134686404	0.0102	0.0544	0.0138	0.0138	TRUE	0.0815
ENSGALT00000068411.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	10	0	0	0	0	23	34	0	0	0	18	0	0	12	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	10	0	0	0	0	21	29	0	0	0	17	0	0	12	0	23	0	0	0	0	0	3.14	0	2	7	4	279797.721	18.094	4.95	7.41655925840639e-07	0.00134131326711071	30.2375	1.1054	21.5197	30.2375	TRUE	0.0534
ENSGALT00000071933.2	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	150	0	0	0	0	0	0	0	0	0	154	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	159	0	0	0	0	0	0	0	0	0	169	0	0	156	0	0	0	0	0	0	0	0	16.5	0	34	17	16	1012151.573	19.949	4.743	2.10820618652515e-06	0.00330440237675952	40	0.1787	40	40	TRUE	0.0636
ENSGALT00000025624.6	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	1	58	3	0	42	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	1	62	3	0	41	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.96	0	17	19	0	677394.396	19.37	4.63	3.65705247523451e-06	0.00409433146405898	40	0.3593	24.6019	40	TRUE	0.1167
ENSGALT00000051812.2	1	2	1	2	2	1	2	1	1	2	1	65	1	2	60	68	62	2	2	2	2	3	60	1	1	2	1	53	1	2	2	2	1	1	3	2	74	1	79	2	1	2	1	3	2	1	2	1	1	2	1	64	1	2	64	64	65	2	2	2	2	3	53	1	1	2	1	56	1	2	2	2	1	1	3	2	86	1	63	2	14.2	2	27	12	16	20.91	4.386	4.67	3.01932714138123e-06	0.00409433146405898	1.7224	0.2148	1.6569	1.6569	TRUE	0.0893
ENSGALT00000096943.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0.53	0	1	0	1	799008.616	19.608	4.679	2.8774182632299e-06	0.00409433146405898	40	9.0946	40	40	TRUE	2.9119
ENSGALT00000079625.2	32	38	53	90	106	66	66	120	77	97	62	78	200	112	197	92	101	109	136	156	83	94	185	164	98	138	160	117	158	110	116	43	106	103	116	98	78	74	192	85	34	42	59	114	84	70	67	107	71	93	69	76	192	136	210	87	107	119	144	150	74	92	163	146	91	116	139	124	173	102	119	47	110	97	100	87	91	78	154	78	105.37	74	129	122	96	1.834	0.875	4.466	7.95365072484319e-06	0.00719224162276109	0.082	0.0226	0.0792	0.0792	TRUE	0.0193
