Id	A11_Mem_12	A12_Mem_13	A7_Mem_7	B11_Mem_27	B5_Mem_19	B7_Mem_21	C10_Mem_42	C2_Mem_30	C4_Mem_32	C9_Mem_40	A10_Mem_10	B9_Mem_24	C1_Mem_29	C11_Mem_44	C7_Mem_36	C8_Mem_38	D1_Mem_46	D2_Mem_47	D3_Mem_49	D4_Mem_54	A3_Mem_3	B1_Mem_14	B10_Mem_25	B2_Mem_15	B3_Mem_16	B4_Mem_18	B8_Mem_22	C12_Mem_45	C3_Mem_31	C6_Mem_34	A1_Mem_1	A2_Mem_2	A4_Mem_4	A5_Mem_5	A6_Mem_6	A8_Mem_8	A9_Mem_9	B12_Mem_28	B6_Mem_20	C5_Mem_33	norm.A11_Mem_12	norm.A12_Mem_13	norm.A7_Mem_7	norm.B11_Mem_27	norm.B5_Mem_19	norm.B7_Mem_21	norm.C10_Mem_42	norm.C2_Mem_30	norm.C4_Mem_32	norm.C9_Mem_40	norm.A10_Mem_10	norm.B9_Mem_24	norm.C1_Mem_29	norm.C11_Mem_44	norm.C7_Mem_36	norm.C8_Mem_38	norm.D1_Mem_46	norm.D2_Mem_47	norm.D3_Mem_49	norm.D4_Mem_54	norm.A3_Mem_3	norm.B1_Mem_14	norm.B10_Mem_25	norm.B2_Mem_15	norm.B3_Mem_16	norm.B4_Mem_18	norm.B8_Mem_22	norm.C12_Mem_45	norm.C3_Mem_31	norm.C6_Mem_34	norm.A1_Mem_1	norm.A2_Mem_2	norm.A4_Mem_4	norm.A5_Mem_5	norm.A6_Mem_6	norm.A8_Mem_8	norm.A9_Mem_9	norm.B12_Mem_28	norm.B6_Mem_20	norm.C5_Mem_33	baseMean	Control	Combination	Cort	Pregnanedione	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENSGALT00000071933.2	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	150	0	0	0	0	0	0	0	0	0	154	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	159	0	0	0	0	0	0	0	0	0	169	0	0	156	0	0	0	0	0	0	0	0	16.5	0	34	17	16	1073741824	30	7.241	4.46975342902943e-13	5.40764882479491e-09	40	0.1787	40	40	TRUE	0.0636
ENSGALT00000060928.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	108	54	0	0	0	0	54	0	0	0	0	0	0	0	0	54	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	106	48	0	0	0	0	57	0	0	0	0	0	0	0	0	63	57	0	0	9.7	0	6	21	12	71599262.499	26.093	6.298	3.01836744029017e-10	2.27363558052257e-06	40	0.3298	28.4406	40	TRUE	0.2945
ENSGALT00000086884.2	133	143	133	95	192	113	135	164	180	170	213	210	224	197	236	154	164	201	189	242	168	155	260	238	232	242	263	242	213	294	168	162	143	177	162	213	130	139	190	171	142	159	147	121	152	121	137	146	165	163	237	205	215	240	252	145	173	220	201	233	149	152	230	212	216	204	229	257	233	272	172	176	148	166	140	190	152	146	153	157	183.21	145	212	215	160	1.484	0.569	6.058	1.37407030717719e-09	6.21024816031803e-06	0.0154	0.0169	0.0154	0.0154	TRUE	0.0471
ENSGALT00000025624.6	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	1	58	3	0	42	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	1	62	3	0	41	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.96	0	17	19	0	4591575.32	22.131	5.341	9.24374588864659e-08	0.000208890169591636	40	0.3593	24.6019	40	TRUE	0.1167
ENSGALT00000068411.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	10	0	0	0	0	23	34	0	0	0	18	0	0	12	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	10	0	0	0	0	21	29	0	0	0	17	0	0	12	0	23	0	0	0	0	0	3.14	0	2	7	4	686043.135	19.388	5.356	8.49919599889465e-08	0.000208890169591636	30.2375	1.1054	21.5197	30.2375	TRUE	0.0534
ENSGALT00000012496.6	143	158	135	117	208	138	169	184	208	170	163	228	138	176	220	210	170	162	204	252	209	157	250	264	274	276	232	241	203	265	163	139	172	175	200	207	159	122	217	192	153	176	150	149	165	147	171	164	191	163	182	223	133	214	235	198	179	177	217	243	185	154	221	235	255	233	202	256	222	245	167	151	178	165	173	184	186	128	174	176	187.97	163	200	221	168	1.36	0.444	5.161	2.45025000947386e-07	0.00042592884395454	0.0123	0.0168	0.0124	0.0124	TRUE	0.0997
ENSGALT00000016043.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	13	0	0	0	0	0	0.67	0	0	1	1	2425330.035	21.21	5.106	3.29054807346979e-07	0.000531141466887645	40	6.7715	40	40	TRUE	3.4994
ENSGALT00000057725.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0.66	0	0	1	1	2266518.346	21.112	5.082	3.73593580459271e-07	0.000547979782676145	40	6.9413	40	40	TRUE	3.4986
ENSGALT00000065348.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0.68	0	0	1	2	2180833.107	21.056	5.063	4.12233662514137e-07	0.000547979782676145	40	6.6818	40	40	TRUE	3.3106
ENSGALT00000091873.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	104	0	6.4	0	0	15	10	2087240.108	20.993	5.046	4.50770121369762e-07	0.000565916844595215	40	0.5151	40	40	TRUE	0.0302
